Unnamed: 0,Kingdom,Phylum,Class,Order,Family,Genus,Scientific.Name
1,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer
2,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
3,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus
4,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae
5,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus
7,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus
8,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana
9,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta
10,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis
11,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis
12,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus
13,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata
14,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus
15,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophryne,Nectophryne afra
16,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus
17,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
29,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga
30,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea
31,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Alligator mississippiensis
32,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula
33,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos
35,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus
40,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana
48,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius
50,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus
52,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis
55,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eulagisca,Eulagisca gigantea
56,Animalia,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,Myrmecophaga Tridactyla
59,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes lagopus
60,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus Arcticus
61,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canus Lupus Arcticus
62,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruriodes,Centruroides sculpturatus
63,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypodidae
64,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta
65,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus
66,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa mandarinia
67,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus hermaphroditus
68,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus tibetanus
79,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra
80,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma mexicanum
81,Animalia,Chordata,Mammalia,Primates,Daubentoniidae,Daubentonia,Daubentonia madagascariensis
82,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio
83,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus Bactrianus
84,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Taxidiinae,Taxidea Taxus
85,Animalia,Chordata,Mammalia,Cetartiodactyla,Lipotidae,Liptodes,Liptodes vexillifer
86,Animalia,Chordata,Mammalia,Artiodactyla,Eschrichtiidae,Eubalaena and Balaena,Mysticeti
88,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx lynx balcanicus
89,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Hemigalus,Hemigalus Derbyanus
90,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,Perameles
91,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus Barbus
93,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto alba
94,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica
95,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena
96,Animalia,Chordata,Actinopterygii,Perciformes,Latidae,Lates,Lates calcarifer
97,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix varia
99,Animalia,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,Cetorhinus,Cetorhinus Maximus
104,Animalia,Chordata,Mammalia,Chiroptera,Microchiroptera,Emballonuridae,Chiroptera
106,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris
113,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursidae
115,Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,Pogona Vitticeps
119,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos x Bison,Bos taurus ï¿½ Bison bison
122,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,Huso huso
123,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Tigris
130,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis
131,Animalia,Chordata,Mammalia,Peramelemorphia,Thylacomyidae,Macrotis,Macrotis lagotis
132,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Arctictis,Arctictis binturong
134,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison Bison
136,Animalia,Chordata,Actinopterygii,Istiophoriformes,Istiophordae,Istiompax,Istiompax Indica
137,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,Diceros Bicornis
139,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Sphex,Sphex pensylvanicus
