Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
Aardvark,117.5,52.5,Grey,25.0,Insectivore,"Savannas, Grasslands","Lions, Hyenas",40,Africa,Least Concern,Orycteropodidae,225.0,40,Solitary,1
Aardwolf,45.0,11.0,Yellow-brown,11.0,Insectivore,"Grasslands, Savannas","Lions, Leopards",27.0,Eastern and Southern Africa,Least Concern,Hyaenidae,90,40,Solitary,3.5
African Elephant,290.0,4350.0,Grey,65.0,Herbivore,"Savannah, Forest","Lions, Hyenas",25,Africa,Vulnerable,Elephantidae,650.0,40,Herd-based,1
African Lion,95.0,185.0,Tan,12.0,Carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",58,Africa,Vulnerable,Felidae,101.5,80,Group-based,2-4 (usually)
African Wild Dog,77.5,27.0,Multicolored,11.0,Carnivore,Savannahs,"Lions, Hyenas",56,Sub-Saharan Africa,Endangered,Canidae,70,56,Group-based,11.0
Alpine Ibex,84.0,69.5,Brown,17.5,Herbivore,"Mountains, Alpine","Wolves, Golden Eagles",60.0,European Alps,Least Concern,Bovidae,150,60.0,Group-based,1
American Bison,169.0,659.0,Brown,17.5,Herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",48.0,North America,Near Threatened,Bovidae,280.0,56,Group-based,1
Anteater,71.5,31.5,"Brown, White",17.5,Insectivore,"Grasslands, Forests","Jaguars, Pumas",24,Central and South America,Least Concern,Myrmecophagidae,200.0,24,Solitary,1
Arabian Oryx,80.0,77.5,White,15.0,Herbivore,Desert,"Lions, Leopards",55,Middle East,Vulnerable,Bovidae,225.0,55,Herd-based,1
Arctic Fox,27.5,5.75,White,4.5,Omnivore,Tundra,Polar Bears,60,Arctic regions,Least Concern,Canidae,56.0,60,Solitary,7.5
Asian Elephant,250.0,3500.0,Grey,70.0,Herbivore,"Grasslands, Forests","Tigers, Leopards",40,Asia (Southeast),Endangered,Elephantidae,650.0,40,Herd-based,1
Atlantic Puffin,27.5,560.0,"Black, White",22.5,"Carnivore, Piscivore","North Atlantic, Arctic","Gulls, Birds of Prey",40.0,"North Atlantic, Arctic",Vulnerable,Alcidae,40,80,Colony-based,1
Atlantic Spotted Dolphin,225.0,130.0,"Gray, White",22.5,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",52.0,Worldwide,Least Concern,Delphinidae,370.0,52.0,Group-based,1
Australian Fur Seal,136.0,29.0,"Brown, Gray",15.5,Carnivore,Coastal Waters,"Sharks, Orcas",32.0,"Australia, New Zealand",Least Concern,Otariidae,325.0,32.0,Group-based,1
Axolotl,30.0,300.0,Various,12.5,Carnivore,"Lakes, Canals","Fish, Birds",0.8,Mexico,Critically Endangered,Ambystomatidae,17.5,0.25,Solitary,200.0
Aye-Aye,36.0,2.45,"Black, Brown",21.5,"Omnivore, Insectivore",Rainforests,Birds of Prey,32,Madagascar,Endangered,Daubentoniidae,165.0,32,Solitary,1
